ProductName,ProductID,OriginalPrice,SalePrice,ProductURL,Case,Dial,Strap,Movement,WaterResistant,img_url_1,img_url_2,img_url_3,img_url_4,img_url_5
Casio Baby-G,No:BGA220G-7A,"HKD 1,380",HKD 690,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901999/cm-0/d-0,Diameter 47 mm Thickness 15.1 mm Shape Round Glass Mineral Glass,Color White,Color White Width Material PU,Quartz,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201911/5671811043000234275.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Baby-G,No:BA120SP-4A,"HKD 1,160",HKD 580,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902257/cm-0/d-0,Diameter 46.3 mm Thickness 15.8 mm Shape Round Glass Mineral Glass,Color Fuchsia,Color Fuchsia Width Material PU,Quartz,10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201912/4860131086807918471.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,No:GA1000-1A,"HKD 2,190","HKD 1,200",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902273/cm-0/d-0,Diameter 50.8 mm Thickness 16.9 mm Shape Round Glass Mineral Glass,Color Black,Color Black Width Material PU,Quartz,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201912/4666809326974992602.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,No:DW5700BBMB-1,HKD 910,HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900939/cm-0/d-0,Diameter 48.9 mm Thickness 13.4 mm Shape Round Glass Mineral Glass,Color Black,Color Black Width Material PU,Quartz,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201908/4688080480230862214.png_700x650.ashx,N\A,N\A,N\A,N\A
Casio Baby-G,No:BGA160-7B2,"HKD 1,090",HKD 654,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904762/cm-0/d-0,Diameter       43.6 mm       Thickness       14.6 mm       Shape       Round       Glass       Mineral Glass,Color       Silver,Color       White       Width       15 mm       Material       Resin,Quartz,10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202005/5568128187319947793.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Baby-G,No:BAX100-1A,HKD 890,HKD 667,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905627/cm-0/d-0,Diameter 46.1 mm Thickness 11 mm Shape Round Glass Mineral Glass,Color Multi Color,Color Black Width Material PU,Quartz,10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202006/5010171228164485385.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Baby-G,No:BGA230SC-4B,"HKD 1,170",HKD 877,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900261/cm-0/d-0,Diameter 43 mm Thickness 15.3 mm Shape Round Glass Mineral Glass,Color Pink,Color Pink Width Material PU,Quartz,10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202010/5714786921592071627.JPG_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,No:GAX100B-7A,"HKD 1,190",HKD 892,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907104/cm-0/d-0,Diameter 55 mm Thickness 16.9 mm Shape Round Glass Mineral Glass,Color Black,Color Black Width Material PU,Quartz,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202012/5727074119465928808.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock H1000,No:GBDH1000-1A7,"HKD 3,680","HKD 2,870",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905167/cm-0/d-0,Diameter       63 mm       Thickness       20.4 mm       Shape       Round       Glass       Mineral Glass,Color       Black,Color       White       Width               Material       PU,Solar,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202005/4760363216980308557.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,No:GA500P-3A,"HKD 1,400",HKD 700,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900289/cm-0/d-0,Diameter 57.6 mm Thickness 17.1 mm Shape Round Glass Mineral Glass,Color,Color Width Material PU,,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201907/4882325232312740812.jpg_700x650.ashx,N\A,N\A,N\A,N\A
