ProductName,ProductID,OriginalPrice,SalePrice,ProductURL,Case,Dial,Strap,Movement,WaterResistant,img_url_1,img_url_2,img_url_3,img_url_4,img_url_5
Citizen Promaster,No:BN2036-14E,"HKD 5,400","HKD 4,320",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902360/cm-0/d-0,Diameter 46.1 mm Thickness 16.4 mm Shape Round Glass,Color Black,Color Black Width Material Stainless Steel,Solar,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201907/5395290893491158575.jpg_700x650.ashx,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201907/4898632160654120988.jpg_700x650.ashx,N\A,N\A,N\A
Citizen Promaster,No:BJ7110-89E,"HKD 4,600","HKD 3,680",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902358/cm-0/d-0,Diameter 43 mm Thickness 13.8 mm Shape Round Glass Sapphire Glass,Color Black,Color Silver Width Material Titanium,Solar,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201907/5471830786666016092.jpg_700x650.ashx,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201907/4921135608002441695.jpg_700x650.ashx,N\A,N\A,N\A
Seiko Prospex,No:SRPD23K1,"HKD 3,860","HKD 3,088",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902353/cm-0/d-0,Diameter 43.8 mm Thickness 13.4 mm Shape Round Glass Hardlex Crystal,Color Blue,Color Silver Width Material Stainless Steel,Automatic(4R35),20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201907/5355992012961370030.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Prospex,No:SNE497P1,"HKD 3,380","HKD 2,704",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902349/cm-0/d-0,DIAMETER     46.7 ㎜,CASE DIAMETER     46.7 ㎜,CASE DIAMETER     46.7 ㎜,N\A,N\A,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201907/5023522521748013058.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Citizen Promaster,No:BN2031-85E,"HKD 5,500","HKD 4,400",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901987/cm-0/d-0,Diameter 46.1 mm Thickness 16.4 mm Shape Round Glass,Color Black,Color Silver Width Material Stainless Steel,Solar,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201912/5275192740717202819.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Prospex,No:SLA023J1,,N\A,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901895/cm-0/d-0,Diameter 44.3 mm Thickness 15.4 mm Shape Round Glass Sapphire Glass,Color Navy,Color Silver Width 20 mm Material Stainless Steel,Mechanical,30 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201911/4898292805947351420.JPG_700x650.ashx,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201911/5205781817138343321.jpg_700x650.ashx,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201911/5726165514399510244.png_700x650.ashx,N\A,N\A
Sinn,No:206.012-2SL,"HKD 39,600","HKD 34,848",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900967/cm-0/d-0,Diameter 43 mm Thickness 17 mm Shape Round Glass Sapphire Glass,Color Blue,Color Silver Width 22 mm Material Stainless Steel,Mechanical,30 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201909/5156778160222195046.png_700x650.ashx,N\A,N\A,N\A,N\A
Sinn,No:1010.010B-S,"HKD 22,000","HKD 19,360",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900754/cm-0/d-0,Diameter 44 mm Thickness 14.7 mm Shape Round Glass Sapphire Glass,Color Blue,Color Blue Width 22 mm Material Silicon,Mechanical,100 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201907/5363068420115657280.png_700x650.ashx,N\A,N\A,N\A,N\A
Sinn,No:1010.010-S,"HKD 22,000","HKD 19,360",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900752/cm-0/d-0,Diameter 44 mm Thickness 14.7 mm Shape Round Glass Sapphire Glass,Color Black,Color Black Width 22 mm Material Silicon,Mechanical,100 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201907/5285260508210345768.png_700x650.ashx,N\A,N\A,N\A,N\A
Sinn Diving,No:1010.020-2SL,"HKD 27,800","HKD 24,464",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900750/cm-0/d-0,Diameter       44 mm       Thickness       14.3 mm       Shape       Round       Glass       Sapphire Glass,Color       Black,Color       Black       Width       22 mm       Material       Stainless Steel with Black hard coating,Mechanical,100 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201907/5230816095679723272.png_700x650.ashx,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201907/5706345896165088023.png_700x650.ashx,N\A,N\A,N\A
Sinn,No:403.051-S,"HKD 23,800","HKD 20,944",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900749/cm-0/d-0,Diameter 44 mm Thickness 13.3 mm Shape Round Glass Sapphire Glass,Color Black,Color Black Width 22 mm Material Silicon,Quartz,500 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201907/4797988169268350878.png_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Prospex,No:SLA021J1,,N\A,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900715/cm-0/d-0,Diameter 44 mm Thickness Shape Round Glass Sapphire Glass,Color Black,Color silver Width 20 mm Material Stainless Steel,Mechanical,3 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201909/5738114981030612427.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Prospex,No:SPB101J1,,N\A,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900713/cm-0/d-0,Diameter 45 mm Thickness Shape Round Glass Sapphire Glass,Color Black,Color Silver Width 20 mm Material Stainless Steel,Mechanical,10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201907/4727074015574664641.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Prospex,No:S23627J1,"HKD 22,500","HKD 14,625",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900666/cm-0/d-0,Diameter 49.4 mm Thickness 15.3 mm Shape Round Glass Sapphire Glass,Color Black,Color Black Width Material,Quartz,100 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201907/4958658825366937342.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Luminox NAVY SEAL  3580,No:XS.3597,"HKD 4,350","HKD 3,480",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900575/cm-0/d-0,Diameter 45 mm Thickness 13 mm Shape Round Glass Mineral Glass,Color Green,Color Black Width Material Rubber,Quartz,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202005/4913116781426911655.png_700x650.ashx,N\A,N\A,N\A,N\A
Luminox Leatherback Sea Turtle,No:XS.0321.L,"HKD 2,600","HKD 2,080",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900568/cm-0/d-0,Diameter       44 mm       Thickness       12 mm       Shape       Round       Glass       Mineral Glass,Color       Black,Color       Black       Width               Material       Rubber,Quartz,10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202006/5325886135496389229.jpg_700x650.ashx,N\A,N\A,N\A,N\A
